ID;VALEUR;DATE
0;5466.17;2019-04-08 15:30:08.0
0;5466.25;2019-04-08 15:30:10.0
0;5468.88;2019-04-08 15:35:22.0
0;5471.78;2019-04-08 15:35:35.0
1;4328.1;2019-04-08 14:29:17.0
1;4327.55;2019-04-08 14:29:18.0
1;4328.1;2019-04-08 14:29:34.0
1;4327.85;2019-04-08 14:29:37.0
1;4328.1;2019-04-08 14:29:39.0
1;4327.85;2019-04-08 14:29:41.0
1;4328.1;2019-04-08 14:29:42.0
1;4327.85;2019-04-08 14:29:43.0
1;4328.1;2019-04-08 14:29:45.0
1;4327.85;2019-04-08 14:29:46.0
1;4328.1;2019-04-08 14:29:51.0
1;4327.51;2019-04-08 14:30:12.0
1;4327.57;2019-04-08 14:30:33.0
1;4327.51;2019-04-08 14:30:34.0
1;4327.57;2019-04-08 14:30:36.0
1;4327.63;2019-04-08 14:30:52.0
1;4327.57;2019-04-08 14:30:55.0
1;4327.63;2019-04-08 14:30:56.0
1;4327.21;2019-04-08 14:31:13.0
1;4327.25;2019-04-08 14:31:33.0
1;4327.21;2019-04-08 14:31:34.0
1;4327.25;2019-04-08 14:31:36.0
1;4327.21;2019-04-08 14:31:37.0
1;4327.25;2019-04-08 14:31:39.0
1;4327.21;2019-04-08 14:31:40.0
1;4327.25;2019-04-08 14:31:41.0
1;4327.13;2019-04-08 14:31:53.0
1;4327.18;2019-04-08 14:31:55.0
1;4327.25;2019-04-08 14:31:56.0
1;4327.18;2019-04-08 14:31:58.0
1;4327.13;2019-04-08 14:32:01.0
1;4327.18;2019-04-08 14:32:03.0
1;4327.15;2019-04-08 14:32:04.0
1;4327.18;2019-04-08 14:32:05.0
1;4327.15;2019-04-08 14:32:07.0
1;4327.18;2019-04-08 14:32:08.0
1;4327.15;2019-04-08 14:32:15.0
1;4327.45;2019-04-08 14:32:47.0
1;4327.15;2019-04-08 14:32:48.0
1;4327.45;2019-04-08 14:32:51.0
1;4327.15;2019-04-08 14:32:52.0
1;4327.72;2019-04-08 14:32:57.0
1;4327.15;2019-04-08 14:32:58.0
1;4327.72;2019-04-08 14:32:59.0
1;4327.45;2019-04-08 14:33:04.0
1;4327.72;2019-04-08 14:33:06.0
1;4327.83;2019-04-08 14:33:08.0
1;4327.72;2019-04-08 14:33:15.0
1;4327.83;2019-04-08 14:33:17.0
1;4328;2019-04-08 14:33:27.0
1;4327.83;2019-04-08 14:33:42.0
1;4328;2019-04-08 14:33:45.0
1;4327.83;2019-04-08 14:33:46.0
1;4328;2019-04-08 14:33:49.0
1;4327.87;2019-04-08 14:33:50.0
1;4327.83;2019-04-08 14:33:57.0
1;4327.87;2019-04-08 14:33:59.0
1;4327.83;2019-04-08 14:34:02.0
1;4327.72;2019-04-08 14:34:03.0
1;4327.87;2019-04-08 14:34:06.0
1;4327.89;2019-04-08 14:34:07.0
1;4327.87;2019-04-08 14:34:08.0
1;4327.72;2019-04-08 14:34:10.0
1;4327.89;2019-04-08 14:34:11.0
1;4327.72;2019-04-08 14:34:15.0
1;4327.89;2019-04-08 14:34:18.0
1;4327.93;2019-04-08 14:34:31.0
1;4327.89;2019-04-08 14:34:32.0
1;4327.93;2019-04-08 14:34:36.0
1;4327.89;2019-04-08 14:34:41.0
1;4327.93;2019-04-08 14:34:43.0
1;4327.89;2019-04-08 14:34:44.0
1;4327.93;2019-04-08 14:34:45.0
1;4327.97;2019-04-08 14:34:48.0
1;4327.93;2019-04-08 14:34:49.0
1;4327.97;2019-04-08 14:34:51.0
1;4327.93;2019-04-08 14:34:52.0
1;4327.97;2019-04-08 14:34:53.0
1;4328.2;2019-04-08 14:34:57.0
1;4327.97;2019-04-08 14:35:02.0
1;4328.2;2019-04-08 14:35:03.0
1;4327.97;2019-04-08 14:35:04.0
1;4328.2;2019-04-08 14:35:06.0
1;4328.47;2019-04-08 14:35:12.0
1;4328.2;2019-04-08 14:35:13.0
1;4328.47;2019-04-08 14:35:15.0
1;4327.89;2019-04-08 14:35:23.0
1;4328.47;2019-04-08 14:35:24.0
1;4328.12;2019-04-08 14:35:27.0
1;4328.47;2019-04-08 14:35:29.0
1;4328.12;2019-04-08 14:35:32.0
1;4328.01;2019-04-08 14:35:51.0
1;4328.12;2019-04-08 14:35:53.0
1;4328.01;2019-04-08 14:35:54.0
1;4327.87;2019-04-08 14:35:57.0
1;4328.01;2019-04-08 14:36:05.0
1;4327.87;2019-04-08 14:36:06.0
1;4328.47;2019-04-08 14:36:12.0
1;4327.87;2019-04-08 14:36:15.0
1;4327.74;2019-04-08 14:36:17.0
1;4328.47;2019-04-08 14:36:20.0
1;4327.74;2019-04-08 14:36:22.0
1;4328.47;2019-04-08 14:36:24.0
1;4327.74;2019-04-08 14:36:26.0
1;4327.65;2019-04-08 14:36:31.0
1;4327.74;2019-04-08 14:36:32.0
